"CO_ANO";"SUBSTANCIA";"NO_PAIS";"EX_FOB.x";"QUANTIDADE_TON";"percentual_PAIS"
"2016";"Água Mineral";"Alemanha";11;0,01;0
"2016";"Água Mineral";"Angola";13077;11,234;0,153
"2016";"Água Mineral";"Antilhas Holandesas";33432;18,913;0,392
"2016";"Água Mineral";"Arábia Saudita";82368;98,544;0,966
"2016";"Água Mineral";"Aruba";808;1,071;0,009
"2016";"Água Mineral";"Bélgica";127;0,085;0,001
"2016";"Água Mineral";"Bolívia";503750;2259,726;5,909
"2016";"Água Mineral";"Cabo Verde";1053;0,604;0,012
"2016";"Água Mineral";"Chile";48099;60,36;0,564
"2016";"Água Mineral";"China";62478;66,54;0,733
"2016";"Água Mineral";"Colômbia";25432;47,862;0,298
"2016";"Água Mineral";"Emirados Árabes Unidos";39199;52,186;0,46
"2016";"Água Mineral";"Equador";0;0;0
"2016";"Água Mineral";"Estados Unidos";2982383;5640,6;34,983
"2016";"Água Mineral";"Guiana";294252;1169,087;3,452
"2016";"Água Mineral";"Guiné Equatorial";2854;1,595;0,033
"2016";"Água Mineral";"Haiti";32487;22,012;0,381
"2016";"Água Mineral";"Japão";83277;254,622;0,977
"2016";"Água Mineral";"Líbano";26249;80,498;0,308
"2016";"Água Mineral";"México";34778;50,496;0,408
"2016";"Água Mineral";"Nova Zelândia";4161;2,343;0,049
"2016";"Água Mineral";"Países Baixos (Holanda)";1768;1,42;0,021
"2016";"Água Mineral";"Panamá";208359;160,543;2,444
"2016";"Água Mineral";"Paraguai";3338384;14004,874;39,159
"2016";"Água Mineral";"Peru";28663;78,274;0,336
"2016";"Água Mineral";"Portugal";2823;3,102;0,033
"2016";"Água Mineral";"Reino Unido";34563;38,023;0,405
"2016";"Água Mineral";"República Dominicana";301888;273,849;3,541
"2016";"Água Mineral";"Suíça";5837;0,114;0,068
"2016";"Água Mineral";"Suriname";23751;14,729;0,279
"2016";"Água Mineral";"Togo";2525;2,22;0,03
"2016";"Água Mineral";"Uruguai";306276;653,683;3,593
"2016";"Água Mineral";"Venezuela";25;0,076;0
"2017";"Água Mineral";"Angola";83267;49,737;0,89
"2017";"Água Mineral";"Antilhas Holandesas";7950;4,5;0,085
"2017";"Água Mineral";"Arábia Saudita";61776;77,58;0,661
"2017";"Água Mineral";"Argentina";30253;50,336;0,324
"2017";"Água Mineral";"Aruba";3273;4,294;0,035
"2017";"Água Mineral";"Austrália";1836;2,169;0,02
"2017";"Água Mineral";"Bélgica";1007;0,42;0,011
"2017";"Água Mineral";"Bolívia";408208;1609,539;4,365
"2017";"Água Mineral";"Cabo Verde";10500;5,94;0,112
"2017";"Água Mineral";"Catar";61776;76,945;0,661
"2017";"Água Mineral";"Chile";367205;520,651;3,927
"2017";"Água Mineral";"China";39465;38,743;0,422
"2017";"Água Mineral";"Coveite (Kuweit)";20592;25,86;0,22
"2017";"Água Mineral";"Curaçao";8470;4,792;0,091
"2017";"Água Mineral";"Estados Unidos";2711098;5270,534;28,993
"2017";"Água Mineral";"França";309;0,108;0,003
"2017";"Água Mineral";"Grécia";390;1,08;0,004
"2017";"Água Mineral";"Guiana";239073;777,705;2,557
"2017";"Água Mineral";"Guiana Francesa";18394;45,143;0,197
"2017";"Água Mineral";"Guiné Equatorial";1622;1,188;0,017
"2017";"Água Mineral";"Haiti";39595;24,79;0,423
"2017";"Água Mineral";"Hong Kong";1912;1,448;0,02
"2017";"Água Mineral";"Japão";121589;297,493;1,3
"2017";"Água Mineral";"México";10067;25,86;0,108
"2017";"Água Mineral";"Moçambique";20873;14,375;0,223
"2017";"Água Mineral";"Nova Zelândia";8268;7,491;0,088
"2017";"Água Mineral";"Países Baixos (Holanda)";10880;4,734;0,116
"2017";"Água Mineral";"Panamá";215394;167,644;2,303
"2017";"Água Mineral";"Paraguai";3895749;12852,928;41,662
"2017";"Água Mineral";"Peru";9190;18,434;0,098
"2017";"Água Mineral";"Porto Rico";16820;25,198;0,18
"2017";"Água Mineral";"Portugal";6945;7,225;0,074
"2017";"Água Mineral";"Provisão de Navios e Aeronaves";224;0,9;0,002
"2017";"Água Mineral";"Reino Unido";43998;30,991;0,471
"2017";"Água Mineral";"República Dominicana";471274;311,055;5,04
"2017";"Água Mineral";"Suriname";10800;6,336;0,115
"2017";"Água Mineral";"Turquia";145;0,04;0,002
"2017";"Água Mineral";"Uruguai";381999;801,167;4,085
"2017";"Água Mineral";"Venezuela";8640;26,775;0,092
"2018";"Água Mineral";"Alemanha";13545;21,988;0,12
"2018";"Água Mineral";"Angola";70065;41,68;0,622
"2018";"Água Mineral";"Antígua e Barbuda";2149;7,047;0,019
"2018";"Água Mineral";"Arábia Saudita";75921;103,489;0,674
"2018";"Água Mineral";"Argélia";1009;0,98;0,009
"2018";"Água Mineral";"Argentina";10706;6,586;0,095
"2018";"Água Mineral";"Austrália";2159;2,161;0,019
"2018";"Água Mineral";"Bahamas";16361;29,124;0,145
"2018";"Água Mineral";"Barbados";2344;8,486;0,021
"2018";"Água Mineral";"Barein";15663;18,871;0,139
"2018";"Água Mineral";"Bélgica";4936;2,512;0,044
"2018";"Água Mineral";"Belize";288;0,05;0,003
"2018";"Água Mineral";"Bermudas";910;0,37;0,008
"2018";"Água Mineral";"Bolívia";241999;1028,952;2,148
"2018";"Água Mineral";"Brasil";2416;1,246;0,021
"2018";"Água Mineral";"Cabo Verde";6720;3,804;0,06
"2018";"Água Mineral";"Canadá";19050;50,001;0,169
"2018";"Água Mineral";"Cayman, Ilhas";338;0,525;0,003
"2018";"Água Mineral";"Chile";594842;1019,51;5,28
"2018";"Água Mineral";"China";78273;114,354;0,695
"2018";"Água Mineral";"Chipre";13710;28,043;0,122
"2018";"Água Mineral";"Cingapura";30265;71,336;0,269
"2018";"Água Mineral";"Colômbia";519;0,755;0,005
"2018";"Água Mineral";"Coreia do Sul";320;0,542;0,003
"2018";"Água Mineral";"Coveite (Kuweit)";17160;25,86;0,152
"2018";"Água Mineral";"Cuba";5;0,004;0
"2018";"Água Mineral";"Curaçao";28630;16,196;0,254
"2018";"Água Mineral";"Dinamarca";5393;12,591;0,048
"2018";"Água Mineral";"Egito";59;0,172;0,001
"2018";"Água Mineral";"Emirados Árabes Unidos";6646;10,796;0,059
"2018";"Água Mineral";"Equador";8008;12,265;0,071
"2018";"Água Mineral";"Eslováquia";4;0,001;0
"2018";"Água Mineral";"Eslovênia";143;0,06;0,001
"2018";"Água Mineral";"Espanha";660;0,986;0,006
"2018";"Água Mineral";"Estados Unidos";3409789;6434,49;30,264
"2018";"Água Mineral";"Etiópia";4496;3,577;0,04
"2018";"Água Mineral";"Falkland (Malvinas)";591;0,08;0,005
"2018";"Água Mineral";"Filipinas";6140;17,794;0,054
"2018";"Água Mineral";"França";14278;8,594;0,127
"2018";"Água Mineral";"Gibraltar";330;1,916;0,003
"2018";"Água Mineral";"Grécia";52301;99,651;0,464
"2018";"Água Mineral";"Guiana";293323;919,41;2,603
"2018";"Água Mineral";"Guiana Francesa";8292;22,679;0,074
"2018";"Água Mineral";"Guiné-Bissau";12;0,013;0
"2018";"Água Mineral";"Haiti";41938;26,255;0,372
"2018";"Água Mineral";"Hong Kong";26867;44,994;0,238
"2018";"Água Mineral";"Índia";3967;11,803;0,035
"2018";"Água Mineral";"Irlanda";552;0,655;0,005
"2018";"Água Mineral";"Itália";10520;18,57;0,093
"2018";"Água Mineral";"Japão";163395;346,778;1,45
"2018";"Água Mineral";"Jordânia";292;0,54;0,003
"2018";"Água Mineral";"Líbano";251;0,01;0,002
"2018";"Água Mineral";"Libéria";59118;106,014;0,525
"2018";"Água Mineral";"Malásia";521;0,32;0,005
"2018";"Água Mineral";"Malta";40808;85,574;0,362
"2018";"Água Mineral";"Marrocos";97;0,076;0,001
"2018";"Água Mineral";"Marshall, Ilhas";79467;147,556;0,705
"2018";"Água Mineral";"México";30502;51,377;0,271
"2018";"Água Mineral";"Niue";932;0,126;0,008
"2018";"Água Mineral";"Noruega";13058;69,279;0,116
"2018";"Água Mineral";"Nova Zelândia";3099;2,334;0,028
