"CO_ANO";"SUBSTANCIA";"CO_NCM";"EX_FOB.x";"QUANTIDADE";"SG_UNID";"NO_UNID";"percentual_Produto_NCM";"NO_NCM_Subitem_POR"
"2018";"Água Mineral";"22021000";10428563;25934266;"LITRO";"LITRO";92,559;"Águas, incluindo as águas minerais e as águas gaseificadas, adicionadas de açúcar ou de outros edulcorantes ou aromatizadas"
"2018";"Água Mineral";"22011000";838433;1960457;"LITRO";"LITRO";7,441;"Águas minerais e águas gaseificadas, não adicionadas de açúcar ou de outros edulcorantes nem aromatizadas"
"2018";"Amianto";"25249000";44768477;101067300;"KGL";"QUILOGRAMA LIQUIDO";96,744;"Outras formas de amianto"
"2018";"Amianto";"68114000";1337395;6639233;"KGL";"QUILOGRAMA LIQUIDO";2,89;"Obras de fibrocimento, cimento-celulose ou produtos semelhantes, que contenham amianto"
"2018";"Amianto";"68129910";89590;1558;"KGL";"QUILOGRAMA LIQUIDO";0,194;"Juntas e outros elementos com função semelhante de vedação, de amianto"
"2018";"Amianto";"68138990";56142;8118;"KGL";"QUILOGRAMA LIQUIDO";0,121;"Outras guarnições não montadas, para embreagens, etc, de amianto"
"2018";"Amianto";"68129100";15339;3288;"KGL";"QUILOGRAMA LIQUIDO";0,033;"Vestuário, acessórios de vestuário, calçados e chapéus, de amianto/das misturas"
"2018";"Amianto";"68129990";6586;335;"KGL";"QUILOGRAMA LIQUIDO";0,014;"Outras obras de amianto trabalhado com fibras com mistura à base de amianto com carbonato de magnésio"
"2018";"Amianto";"68129920";1171;38;"KGL";"QUILOGRAMA LIQUIDO";0,003;"Amianto trabalhado, em fibras"
"2018";"Amianto";"68128000";164;1;"KGL";"QUILOGRAMA LIQUIDO";0;"Obras de crocidolita (amianto) ou em fibras"
"2018";"Amianto";"68129200";42;0;"KGL";"QUILOGRAMA LIQUIDO";0;"Papéis, cartões, feltros, de amianto/das misturas"
"2018";"Amianto";"68129300";218;48;"KGL";"QUILOGRAMA LIQUIDO";0;"Folhas de amianto e elastômeros, comprimidos, para juntas, mesmo apresentadas em rolos"
"2018";"Antimônio";"28258090";67326;23137;"KGL";"QUILOGRAMA LIQUIDO";99,958;"Outros óxidos de antimônio"
"2018";"Antimônio";"81109000";28;0;"KGL";"QUILOGRAMA LIQUIDO";0,042;"Obras e outros produtos do antimônio"
"2018";"Areia";"25059000";71795;1596,034;"TML";"TONELADA METRICA LIQUIDA";100;"Outras areias naturais de qualquer espécie, mesmo coradas, exceto areias metalíferas do Capítulo 26"
"2018";"Argilas Comuns";"69072200";278797580;84614987;"M2";"METRO QUADRADO";60,471;"Ladrilhos e placas (lajes), para pavimentação ou revestimento, exceto os das subposições 6907.30 e 6907.40, com um coeficiente de absorção de água, em peso, superior a 0,5 %, mas não superior a 10 %"
"2018";"Argilas Comuns";"69072100";122680228;14462019;"M2";"METRO QUADRADO";26,609;"Ladrilhos e placas (lajes), para pavimentação ou revestimento, exceto os das subposições 6907.30 e 6907.40, com um coeficiente de absorção de água, em peso, não superior a 0,5 %"
"2018";"Argilas Comuns";"69072300";41343501;6729163;"M2";"METRO QUADRADO";8,967;"Ladrilhos e placas (lajes), para pavimentação ou revestimento, exceto os das subposições 6907.30 e 6907.40, com um coeficiente de absorção de água, em peso, superior a 10 %"
"2018";"Argilas Comuns";"69074000";5718636;390477;"M2";"METRO QUADRADO";1,24;"Peças de acabamento, de cerâmica"
"2018";"Argilas Comuns";"32072010";4751594;10546727;"KGL";"QUILOGRAMA LIQUIDO";1,031;"Engobos"
"2018";"Argilas Comuns";"69051000";2766991;14566070;"KGL";"QUILOGRAMA LIQUIDO";0,6;"Telhas de cerâmica"
"2018";"Argilas Comuns";"69041000";1673710;440311;"MIL";"MILHEIRO";0,363;"Tijolos de cerâmica"
"2018";"Argilas Comuns";"69073000";1211358;68634;"M2";"METRO QUADRADO";0,263;"Cubos, pastilhas e artigos semelhantes, para mosaicos, exceto os da subposição 6907.40"
"2018";"Argilas Comuns";"69149000";1009866;161243;"KGL";"QUILOGRAMA LIQUIDO";0,219;"Outras obras de cerâmica, exceto porcelana"
"2018";"Argilas Comuns";"69139000";535812;22434;"KGL";"QUILOGRAMA LIQUIDO";0,116;"Estatuetas/outros objetos ornamentais de cerâmica, exceto porcelana"
"2018";"Argilas Plásticas";"69109000";38476775;1728510;"UNID.";"NUMERO (UNIDADE)";60,446;"Pias, lavatórios, etc, para sanitários, de cerâmica, exceto porcelana"
"2018";"Argilas Plásticas";"85462000";7671208;2928790;"KGL";"QUILOGRAMA LIQUIDO";12,051;"Isoladores de cerâmica para uso elétrico"
"2018";"Argilas Plásticas";"69091990";7236458;219057;"KGL";"QUILOGRAMA LIQUIDO";11,368;"Outros aparelhos e artefatos de cerâmica, para uso químico/técnico"
"2018";"Argilas Plásticas";"69120000";6707445;3714994;"KGL";"QUILOGRAMA LIQUIDO";10,537;"Louça, outros artigos de uso doméstico e artigos de higiene ou de toucador, de cerâmica, exceto de porcelana"
"2018";"Argilas Plásticas";"69091290";2334603;514060;"KGL";"QUILOGRAMA LIQUIDO";3,668;"Outros artefatos de cerâmica, exceto porcelana, com uma dureza equivalente a 9 ou mais na escala de Mohs"
"2018";"Argilas Plásticas";"85471000";605455;100753;"KGL";"QUILOGRAMA LIQUIDO";0,951;"Peças isolantes de cerâmica, para máquinas, aparelhos e instalações elétricas"
"2018";"Argilas Plásticas";"85051910";413211;141126;"KGL";"QUILOGRAMA LIQUIDO";0,649;"Ímãs permanentes e artefatos destinados a tornarem-se ímãs permanentes após magnetização, de ferrita (cerâmicos)"
"2018";"Argilas Plásticas";"69099000";146844;8391;"KGL";"QUILOGRAMA LIQUIDO";0,231;"Alguidares e outros recipientes de cerâmica para uso rural, etc."
"2018";"Argilas Plásticas";"69091910";55418;1443;"KGL";"QUILOGRAMA LIQUIDO";0,087;"Outros guia-fios para máquinas têxteis, de cerâmica, exceto porcelana"
"2018";"Argilas Plásticas";"38029030";3689;3830;"KGL";"QUILOGRAMA LIQUIDO";0,006;"Atapulgita"
"2018";"Argilas Refratárias";"38160090";7252885;7135576;"KGL";"QUILOGRAMA LIQUIDO";43,234;"Outros concretos e composições semelhantes, refratrários"
"2018";"Argilas Refratárias";"82090011";2762718;2839351;"KGL";"QUILOGRAMA LIQUIDO";16,469;"Plaquetas ou pastilhas, não montadas, de ceramais (cermets), intercambiáveis"
"2018";"Argilas Refratárias";"38160019";2126646;2038203;"KGL";"QUILOGRAMA LIQUIDO";12,677;"Outros cimentos e argamassas, refratrários"
"2018";"Argilas Refratárias";"69039099";1545990;79889;"KGL";"QUILOGRAMA LIQUIDO";9,216;"Outros produtos cerâmicos refratrários"
"2018";"Argilas Refratárias";"85322410";1424819;310322241;"UNID.";"NUMERO (UNIDADE)";8,493;"Outros condensadores fixos, com dielétrico de cerâmica, de camadas múltiplas, próprios para montagem em superfície (SMD - Surface Mounted Device)"
"2018";"Argilas Refratárias";"81130090";743606;119349;"KGL";"QUILOGRAMA LIQUIDO";4,433;"Outras obras de ceramais, desperdícios e resíduos de ceramais"
"2018";"Argilas Refratárias";"25083000";376123;1249019;"KGL";"QUILOGRAMA LIQUIDO";2,242;"Argilas refratárias"
"2018";"Argilas Refratárias";"81130010";243855;10871;"KGL";"QUILOGRAMA LIQUIDO";1,454;"Chapas, folhas, tiras, fios, hastes, pastilhas e plaquetas, de ceramais"
"2018";"Argilas Refratárias";"69029090";124721;18802;"KGL";"QUILOGRAMA LIQUIDO";0,743;"Outros tijolos e pecas cerâmicas para construção, refratários"
"2018";"Argilas Refratárias";"82090090";76146;20271;"KGL";"QUILOGRAMA LIQUIDO";0,454;"Outras pontas e objetos semelhantes para ferramentas, não montados, de ceramais (cermets)"
"2018";"Bário";"25111000";112345;266898;"KGL";"QUILOGRAMA LIQUIDO";51,354;"Sulfato de bário natural (baritina)"
"2018";"Bário";"28419021";51666;74340;"KGL";"QUILOGRAMA LIQUIDO";23,617;"Ferrito de bário"
"2018";"Bário";"25112000";41918;52751;"KGL";"QUILOGRAMA LIQUIDO";19,161;"Carbonato de bário natural (witherita)"
"2018";"Bário";"28164010";6400;2000;"KGL";"QUILOGRAMA LIQUIDO";2,926;"Hidróxido de bário"
"2018";"Bário";"28332790";4134;25;"KGL";"QUILOGRAMA LIQUIDO";1,89;"Outros sulfatos de bário"
