"CO_ANO";"SUBSTANCIA";"NO_PAIS";"IMP_FOB.x";"QUANTIDADE_TON";"percentual_PAIS"
"2016";"Água Mineral";"Argentina";6048;4,32;0,558
"2016";"Água Mineral";"Espanha";38205;45,189;3,527
"2016";"Água Mineral";"Estados Unidos";13286;13,93;1,227
"2016";"Água Mineral";"França";347536;574,224;32,086
"2016";"Água Mineral";"Itália";388309;904,083;35,85
"2016";"Água Mineral";"Japão";21661;20,724;2
"2016";"Água Mineral";"Líbano";7925;3,57;0,732
"2016";"Água Mineral";"Noruega";203425;113,219;18,781
"2016";"Água Mineral";"Paraguai";483;2;0,045
"2016";"Água Mineral";"Peru";17955;15,12;1,658
"2016";"Água Mineral";"Portugal";31138;30,096;2,875
"2016";"Água Mineral";"Reino Unido";7176;8,898;0,663
"2017";"Água Mineral";"Austrália";29;0,008;0,002
"2017";"Água Mineral";"Coreia do Sul";145863;150,139;10,062
"2017";"Água Mineral";"Espanha";12516;28,976;0,863
"2017";"Água Mineral";"Estados Unidos";5537;6,298;0,382
"2017";"Água Mineral";"França";400634;606,698;27,636
"2017";"Água Mineral";"Itália";423864;1209,77;29,239
"2017";"Água Mineral";"Japão";43641;37,983;3,01
"2017";"Água Mineral";"Jordânia";999;0,576;0,069
"2017";"Água Mineral";"Noruega";262173;145,209;18,085
"2017";"Água Mineral";"Países Baixos (Holanda)";2;0;0
"2017";"Água Mineral";"Portugal";69162;81,18;4,771
"2017";"Água Mineral";"Reino Unido";83448;106,812;5,756
"2017";"Água Mineral";"Suécia";1805;3,392;0,125
"2018";"Água Mineral";"Argentina";5839;48,186;0,272
"2018";"Água Mineral";"Coreia do Sul";96268;93,469;4,48
"2018";"Água Mineral";"Espanha";8998;29,845;0,419
"2018";"Água Mineral";"Estados Unidos";98265;134,972;4,573
"2018";"Água Mineral";"França";452400;774,298;21,055
"2018";"Água Mineral";"Itália";957851;1889,887;44,58
"2018";"Água Mineral";"Japão";9553;7,986;0,445
"2018";"Água Mineral";"Noruega";288110;158,212;13,409
"2018";"Água Mineral";"Portugal";105927;111,037;4,93
"2018";"Água Mineral";"Reino Unido";125399;160,23;5,836
"2016";"Amianto";"Alemanha";334341;5,373;8,244
"2016";"Amianto";"Austrália";24215;0,198;0,597
"2016";"Amianto";"Áustria";976393;58,924;24,076
"2016";"Amianto";"Bélgica";8930;0,238;0,22
"2016";"Amianto";"Brasil";1758;0,006;0,043
"2016";"Amianto";"Canadá";34017;1,017;0,839
"2016";"Amianto";"Chile";3312;0,002;0,082
"2016";"Amianto";"China";320771;113,065;7,91
"2016";"Amianto";"Coreia do Sul";9202;0,531;0,227
"2016";"Amianto";"Dinamarca";29576;1,219;0,729
"2016";"Amianto";"Emirados Árabes Unidos";10926;0,263;0,269
"2016";"Amianto";"Equador";7;0;0
"2016";"Amianto";"Eslováquia";512;0,002;0,013
"2016";"Amianto";"Eslovênia";7;0;0
"2016";"Amianto";"Espanha";36063;0,622;0,889
"2016";"Amianto";"Estados Unidos";600538;12,305;14,808
"2016";"Amianto";"Estônia";1541;0,012;0,038
"2016";"Amianto";"Finlândia";12228;0,049;0,302
"2016";"Amianto";"França";23944;0,101;0,59
"2016";"Amianto";"Hungria";492;0,013;0,012
"2016";"Amianto";"Índia";2433;0,047;0,06
"2016";"Amianto";"Indonésia";27;0;0,001
"2016";"Amianto";"Itália";125577;10,873;3,097
"2016";"Amianto";"Japão";131891;2,547;3,252
"2016";"Amianto";"Marrocos";3395;0,002;0,084
"2016";"Amianto";"México";1919;0,028;0,047
"2016";"Amianto";"Noruega";3500;0,015;0,086
"2016";"Amianto";"Países Baixos (Holanda)";13100;0,037;0,323
"2016";"Amianto";"Peru";331;0,002;0,008
"2016";"Amianto";"Polônia";1497;0,014;0,037
"2016";"Amianto";"Portugal";164;0,002;0,004
"2016";"Amianto";"Reino Unido";33946;0,37;0,837
"2016";"Amianto";"Rússia";1245537;3375;30,713
"2016";"Amianto";"Suécia";14044;0,205;0,346
"2016";"Amianto";"Suíça";36124;0,074;0,891
"2016";"Amianto";"Tailândia";1033;0,058;0,025
"2016";"Amianto";"Taiwan (Formosa)";9084;1,117;0,224
"2016";"Amianto";"Tcheca, República";2164;0,023;0,053
"2016";"Amianto";"Turquia";867;0,059;0,021
"2016";"Amianto";"Vietnã";4;0;0
"2017";"Amianto";"África do Sul";3;0,001;0
"2017";"Amianto";"Alemanha";300500;5,013;3,839
"2017";"Amianto";"Argentina";158;0,006;0,002
"2017";"Amianto";"Austrália";41333;0,161;0,528
"2017";"Amianto";"Áustria";960346;61,499;12,268
"2017";"Amianto";"Bélgica";13495;0,529;0,172
"2017";"Amianto";"Brasil";1321;0,012;0,017
"2017";"Amianto";"Canadá";9692;0,849;0,124
"2017";"Amianto";"China";174566;61,997;2,23
"2017";"Amianto";"Cingapura";834;0,003;0,011
"2017";"Amianto";"Coreia do Sul";14849;0,844;0,19
"2017";"Amianto";"Dinamarca";24785;0,604;0,317
"2017";"Amianto";"Equador";236;0,002;0,003
"2017";"Amianto";"Eslováquia";99;0,002;0,001
"2017";"Amianto";"Espanha";36226;0,917;0,463
"2017";"Amianto";"Estados Unidos";515892;6,298;6,59
"2017";"Amianto";"Filipinas";14;0;0
"2017";"Amianto";"Finlândia";34808;0,309;0,445
"2017";"Amianto";"França";41260;0,206;0,527
"2017";"Amianto";"Hong Kong";24;0,01;0
"2017";"Amianto";"Hungria";2360;0,06;0,03
"2017";"Amianto";"Índia";30068;1,223;0,384
"2017";"Amianto";"Indonésia";36;0;0
"2017";"Amianto";"Irlanda";501;0,002;0,006
"2017";"Amianto";"Itália";148420;15,344;1,896
"2017";"Amianto";"Japão";98695;0,857;1,261
"2017";"Amianto";"Marrocos";4505;0,003;0,058
"2017";"Amianto";"México";5561;0,013;0,071
"2017";"Amianto";"Noruega";16565;0,134;0,212
"2017";"Amianto";"Nova Caledônia";8;0;0
"2017";"Amianto";"Países Baixos (Holanda)";15639;0,05;0,2
"2017";"Amianto";"Peru";1377;0,124;0,018
"2017";"Amianto";"Polônia";2332;0,019;0,03
"2017";"Amianto";"Portugal";314;0,002;0,004
"2017";"Amianto";"Reino Unido";31189;0,407;0,398
"2017";"Amianto";"Rússia";5219578;12150;66,676
"2017";"Amianto";"Suécia";10875;0,141;0,139
"2017";"Amianto";"Suíça";56257;0,116;0,719
"2017";"Amianto";"Tailândia";1656;0,222;0,021
"2017";"Amianto";"Taiwan (Formosa)";7116;0,344;0,091
"2017";"Amianto";"Tcheca, República";4445;0,069;0,057
"2017";"Amianto";"Turquia";372;0,06;0,005
"2018";"Amianto";"Alemanha";476494;7,09;17,28
"2018";"Amianto";"Argentina";1395;0,013;0,051
"2018";"Amianto";"Austrália";48328;0,56;1,753
"2018";"Amianto";"Áustria";1020413;61,735;37,005
"2018";"Amianto";"Bélgica";19045;0,535;0,691
"2018";"Amianto";"Brasil";526;0,004;0,019
"2018";"Amianto";"Canadá";4727;0,03;0,171
"2018";"Amianto";"Chile";3837;0,807;0,139
"2018";"Amianto";"China";155608;20,277;5,643
"2018";"Amianto";"Cingapura";17;0;0,001
"2018";"Amianto";"Coreia do Sul";16378;0,766;0,594
"2018";"Amianto";"Dinamarca";49735;1,177;1,804
"2018";"Amianto";"Eslováquia";899;0,02;0,033
"2018";"Amianto";"Eslovênia";107;0,002;0,004
"2018";"Amianto";"Espanha";39125;1,505;1,419
"2018";"Amianto";"Estados Unidos";446674;7,834;16,199
"2018";"Amianto";"Finlândia";10015;0,14;0,363
"2018";"Amianto";"França";30436;0,173;1,104
"2018";"Amianto";"Hungria";384;0,014;0,014
"2018";"Amianto";"Índia";2261;0,057;0,082
"2018";"Amianto";"Indonésia";1065;6,686;0,039
"2018";"Amianto";"Irlanda";3661;0,014;0,133
"2018";"Amianto";"Itália";208858;17,817;7,574
"2018";"Amianto";"Japão";76775;0,833;2,784
"2018";"Amianto";"Letônia";5;0;0
"2018";"Amianto";"Luxemburgo";110;0,002;0,004
"2018";"Amianto";"Marrocos";5396;0,004;0,196
"2018";"Amianto";"México";3334;0,003;0,121
"2018";"Amianto";"Noruega";1725;0,005;0,063
"2018";"Amianto";"Países Baixos (Holanda)";26720;0,153;0,969
"2018";"Amianto";"Paraguai";39;0,003;0,001
"2018";"Amianto";"Peru";56;0,008;0,002
"2018";"Amianto";"Polônia";3522;0,014;0,128
"2018";"Amianto";"Portugal";2277;0,005;0,083
