"CO_ANO";"SUBSTANCIA";"NO_FAT_AGREG";"IMP_FOB.x";"QUANTIDADE_TON";"percentual_FAT_AGREG"
"2016";"Água Mineral";"PRODUTOS MANUFATURADOS";1083147;1735,373;100
"2017";"Água Mineral";"PRODUTOS MANUFATURADOS";1449673;2377,041;100
"2018";"Água Mineral";"PRODUTOS MANUFATURADOS";2148610;3408,122;100
"2016";"Amianto";"PRODUTOS BASICOS";1245537;3375;30,71
"2017";"Amianto";"PRODUTOS BASICOS";5219578;12150;66,68
"2016";"Amianto";"PRODUTOS MANUFATURADOS";2809873;209,413;69,29
"2017";"Amianto";"PRODUTOS MANUFATURADOS";2608732;158,452;33,32
"2018";"Amianto";"PRODUTOS MANUFATURADOS";2757496;129,641;100
"2016";"Antimônio";"PRODUTOS BASICOS";155;0;0
"2018";"Antimônio";"PRODUTOS BASICOS";32;0;0
"2016";"Antimônio";"PRODUTOS MANUFATURADOS";4449847;752,512;63,82
"2017";"Antimônio";"PRODUTOS MANUFATURADOS";5829879;748,573;67,08
"2018";"Antimônio";"PRODUTOS MANUFATURADOS";7559626;1000,956;76,29
"2016";"Antimônio";"PRODUTOS SEMIMANUFATURADOS";2522726;394,164;36,18
"2017";"Antimônio";"PRODUTOS SEMIMANUFATURADOS";2861102;353,643;32,92
"2018";"Antimônio";"PRODUTOS SEMIMANUFATURADOS";2349593;279,58;23,71
"2016";"Areia";"PRODUTOS BASICOS";57995;37,548;100
"2017";"Areia";"PRODUTOS BASICOS";50233;68,339;100
"2018";"Areia";"PRODUTOS BASICOS";87164;176,072;100
"2016";"Argilas Comuns";"PRODUTOS BASICOS";1846309;2506,955;4,09
"2017";"Argilas Comuns";"PRODUTOS BASICOS";1874136;2316,424;2,57
"2018";"Argilas Comuns";"PRODUTOS BASICOS";2002451;2830,317;2,75
"2016";"Argilas Comuns";"PRODUTOS MANUFATURADOS";43269364;129487,793;95,91
"2017";"Argilas Comuns";"PRODUTOS MANUFATURADOS";71173333;170927,158;97,43
"2018";"Argilas Comuns";"PRODUTOS MANUFATURADOS";70833424;151904,578;97,25
"2016";"Argilas Plásticas";"PRODUTOS BASICOS";37758;236,01;0,04
"2017";"Argilas Plásticas";"PRODUTOS BASICOS";57176;337,24;0,07
"2018";"Argilas Plásticas";"PRODUTOS BASICOS";83242;479,75;0,07
"2016";"Argilas Plásticas";"PRODUTOS MANUFATURADOS";101638376;84992,075;99,96
"2017";"Argilas Plásticas";"PRODUTOS MANUFATURADOS";87251158;34953,19;99,93
"2018";"Argilas Plásticas";"PRODUTOS MANUFATURADOS";111386682;39432,223;99,93
"2016";"Argilas Refratárias";"PRODUTOS BASICOS";631649;1528,399;0,38
"2017";"Argilas Refratárias";"PRODUTOS BASICOS";803399;2135,876;0,38
"2018";"Argilas Refratárias";"PRODUTOS BASICOS";941093;2278,525;0,33
"2016";"Argilas Refratárias";"PRODUTOS MANUFATURADOS";163522284;13189,874;99,62
"2017";"Argilas Refratárias";"PRODUTOS MANUFATURADOS";211341322;18850,896;99,62
"2018";"Argilas Refratárias";"PRODUTOS MANUFATURADOS";280865565;17907,51;99,67
"2016";"Arsênio";"PRODUTOS MANUFATURADOS";89758;43,951;100
"2017";"Arsênio";"PRODUTOS MANUFATURADOS";118240;80,001;100
"2018";"Arsênio";"PRODUTOS MANUFATURADOS";86263;40,001;100
"2016";"Bário";"PRODUTOS BASICOS";3175555;12750,778;23,8
"2017";"Bário";"PRODUTOS BASICOS";4510042;21674,027;31,42
"2018";"Bário";"PRODUTOS BASICOS";6694436;32186,378;40,04
"2016";"Bário";"PRODUTOS MANUFATURADOS";10169413;14590,459;76,2
"2017";"Bário";"PRODUTOS MANUFATURADOS";9842224;13998,099;68,58
"2018";"Bário";"PRODUTOS MANUFATURADOS";10024388;13428,978;59,96
"2016";"Bauxita";"PRODUTOS BASICOS";113675957;287347,594;7,8
"2017";"Bauxita";"PRODUTOS BASICOS";150368177;423034,98;9,25
"2018";"Bauxita";"PRODUTOS BASICOS";251572038;228819,039;11,38
"2016";"Bauxita";"PRODUTOS MANUFATURADOS";802175650;210154,223;55,07
"2017";"Bauxita";"PRODUTOS MANUFATURADOS";883700309;239726,943;54,37
"2018";"Bauxita";"PRODUTOS MANUFATURADOS";1169620169;314595,93;52,89
"2016";"Bauxita";"PRODUTOS SEMIMANUFATURADOS";540889419;304058,13;37,13
"2017";"Bauxita";"PRODUTOS SEMIMANUFATURADOS";591178435;280969,145;36,37
"2018";"Bauxita";"PRODUTOS SEMIMANUFATURADOS";790400379;333183,859;35,74
"2016";"Bentonita";"PRODUTOS BASICOS";21602813;92751,723;84,89
"2017";"Bentonita";"PRODUTOS BASICOS";17092528;71703,239;80,37
"2018";"Bentonita";"PRODUTOS BASICOS";21589755;96426,879;77,54
"2016";"Bentonita";"PRODUTOS MANUFATURADOS";3845502;34672,667;15,11
"2017";"Bentonita";"PRODUTOS MANUFATURADOS";4173831;47238,126;19,63
"2018";"Bentonita";"PRODUTOS MANUFATURADOS";6253608;90596,245;22,46
"2016";"Berílio";"PRODUTOS MANUFATURADOS";4899;0;100
"2017";"Berílio";"PRODUTOS MANUFATURADOS";4221;0;100
"2018";"Berílio";"PRODUTOS MANUFATURADOS";27747;0,005;100
"2016";"Bismuto";"PRODUTOS MANUFATURADOS";450707;7,284;21,13
"2017";"Bismuto";"PRODUTOS MANUFATURADOS";436544;7,24;19,73
"2018";"Bismuto";"PRODUTOS MANUFATURADOS";500747;8,879;23,34
"2016";"Bismuto";"PRODUTOS SEMIMANUFATURADOS";1682547;154,281;78,87
"2017";"Bismuto";"PRODUTOS SEMIMANUFATURADOS";1775875;153,234;80,27
"2018";"Bismuto";"PRODUTOS SEMIMANUFATURADOS";1645134;145,3;76,66
"2016";"Boro";"PRODUTOS BASICOS";29810819;125804,56;46,46
"2017";"Boro";"PRODUTOS BASICOS";37586698;167672,87;45,63
"2018";"Boro";"PRODUTOS BASICOS";35653243;149013,01;40,5
"2016";"Boro";"PRODUTOS MANUFATURADOS";34359792;50726,682;53,54
"2017";"Boro";"PRODUTOS MANUFATURADOS";44778090;69042,178;54,37
"2018";"Boro";"PRODUTOS MANUFATURADOS";52369955;73961,089;59,5
"2016";"Bromo";"PRODUTOS MANUFATURADOS";2689982;733,197;100
"2017";"Bromo";"PRODUTOS MANUFATURADOS";2236491;657,359;100
"2018";"Bromo";"PRODUTOS MANUFATURADOS";4851891;2574,521;100
"2016";"Cádmio";"PRODUTOS MANUFATURADOS";387062;57,597;79,4
"2017";"Cádmio";"PRODUTOS MANUFATURADOS";305672;48,555;89,44
"2018";"Cádmio";"PRODUTOS MANUFATURADOS";435574;73,048;94,88
"2016";"Cádmio";"PRODUTOS SEMIMANUFATURADOS";100397;57,91;20,6
"2017";"Cádmio";"PRODUTOS SEMIMANUFATURADOS";36077;10,059;10,56
"2018";"Cádmio";"PRODUTOS SEMIMANUFATURADOS";23524;5,021;5,12
"2016";"Calcário";"PRODUTOS BASICOS";6628287;457383,418;3,36
"2017";"Calcário";"PRODUTOS BASICOS";6707443;475507,735;3,15
"2018";"Calcário";"PRODUTOS BASICOS";7926184;563160,657;3,59
"2016";"Calcário";"PRODUTOS MANUFATURADOS";187442182;1015142,481;94,95
"2017";"Calcário";"PRODUTOS MANUFATURADOS";191397324;1050539,263;89,88
"2018";"Calcário";"PRODUTOS MANUFATURADOS";197926899;1051204,07;89,68
"2016";"Calcário";"PRODUTOS SEMIMANUFATURADOS";3334514;19769,158;1,69
"2017";"Calcário";"PRODUTOS SEMIMANUFATURADOS";14834102;81677,278;6,97
"2018";"Calcário";"PRODUTOS SEMIMANUFATURADOS";14845049;89776,316;6,73
"2016";"Carvão Mineral";"PRODUTOS BASICOS";1954477963;23190044,701;94,66
"2017";"Carvão Mineral";"PRODUTOS BASICOS";3829838951;25103202,153;97
"2018";"Carvão Mineral";"PRODUTOS BASICOS";4005412622;25549060,387;93,34
"2016";"Carvão Mineral";"PRODUTOS MANUFATURADOS";109864864;121844,563;5,32
"2017";"Carvão Mineral";"PRODUTOS MANUFATURADOS";118212685;111015,456;2,99
"2018";"Carvão Mineral";"PRODUTOS MANUFATURADOS";285735844;159511,196;6,66
"2016";"Carvão Mineral";"PRODUTOS SEMIMANUFATURADOS";333052;360,287;0,02
"2017";"Carvão Mineral";"PRODUTOS SEMIMANUFATURADOS";95473;106,275;0
"2018";"Carvão Mineral";"PRODUTOS SEMIMANUFATURADOS";16665;5,675;0
"2016";"Caulim";"PRODUTOS BASICOS";6708116;15720,928;11,93
