"CO_ANO";"SUBSTANCIA";"CO_NCM";"IMP_FOB.x";"QUANTIDADE";"SG_UNID";"NO_UNID";"percentual_Produto_NCM";"NO_NCM_Subitem_POR"
"2018";"Água Mineral";"22011000";1515279;2958384;"LITRO";"LITRO";70,524;"Águas minerais e águas gaseificadas, não adicionadas de açúcar ou de outros edulcorantes nem aromatizadas"
"2018";"Água Mineral";"22021000";633331;376620;"LITRO";"LITRO";29,476;"Águas, incluindo as águas minerais e as águas gaseificadas, adicionadas de açúcar ou de outros edulcorantes ou aromatizadas"
"2018";"Amianto";"68138990";1665037;93379;"KGL";"QUILOGRAMA LIQUIDO";60,382;"Outras guarnições não montadas, para embreagens, etc, de amianto"
"2018";"Amianto";"68129910";732089;18014;"KGL";"QUILOGRAMA LIQUIDO";26,549;"Juntas e outros elementos com função semelhante de vedação, de amianto"
"2018";"Amianto";"68129990";349511;10504;"KGL";"QUILOGRAMA LIQUIDO";12,675;"Outras obras de amianto trabalhado com fibras com mistura à base de amianto com carbonato de magnésio"
"2018";"Amianto";"68129300";5232;972;"KGL";"QUILOGRAMA LIQUIDO";0,19;"Folhas de amianto e elastômeros, comprimidos, para juntas, mesmo apresentadas em rolos"
"2018";"Amianto";"68129200";1362;6;"KGL";"QUILOGRAMA LIQUIDO";0,049;"Papéis, cartões, feltros, de amianto/das misturas"
"2018";"Amianto";"68128000";1235;8;"KGL";"QUILOGRAMA LIQUIDO";0,045;"Obras de crocidolita (amianto) ou em fibras"
"2018";"Amianto";"68129100";1209;47;"KGL";"QUILOGRAMA LIQUIDO";0,044;"Vestuário, acessórios de vestuário, calçados e chapéus, de amianto/das misturas"
"2018";"Amianto";"68114000";1007;6686;"KGL";"QUILOGRAMA LIQUIDO";0,037;"Obras de fibrocimento, cimento-celulose ou produtos semelhantes, que contenham amianto"
"2018";"Amianto";"68129920";814;25;"KGL";"QUILOGRAMA LIQUIDO";0,03;"Amianto trabalhado, em fibras"
"2018";"Antimônio";"28258010";6509550;859701;"KGL";"QUILOGRAMA LIQUIDO";65,692;"Trióxido de antimônio"
"2018";"Antimônio";"81101010";2349593;279580;"KGL";"QUILOGRAMA LIQUIDO";23,711;"Antimônio em formas brutas"
"2018";"Antimônio";"81109000";839495;103901;"KGL";"QUILOGRAMA LIQUIDO";8,472;"Obras e outros produtos do antimônio"
"2018";"Antimônio";"28258090";194302;36326;"KGL";"QUILOGRAMA LIQUIDO";1,961;"Outros óxidos de antimônio"
"2018";"Antimônio";"28419060";10719;1011;"KGL";"QUILOGRAMA LIQUIDO";0,108;"Antimoniatos"
"2018";"Antimônio";"81101020";2885;4;"KGL";"QUILOGRAMA LIQUIDO";0,029;"Antimônio em pós"
"2018";"Antimônio";"28273950";2675;13;"KGL";"QUILOGRAMA LIQUIDO";0,027;"Cloreto de antimônio"
"2018";"Antimônio";"26171000";32;0;"KGL";"QUILOGRAMA LIQUIDO";0;"Minérios de antimônio e seus concentrados"
