"SUBSTANCIA";"CO_ANO";"IMP_FOB";"QUANTIDADE_TON";"id_Subs_Ano"
"Água Mineral";"2016";1083147;1735,373;"Água Mineral_2016"
"Água Mineral";"2017";1449673;2377,041;"Água Mineral_2017"
"Água Mineral";"2018";2148610;3408,122;"Água Mineral_2018"
"Amianto";"2016";4055410;3584,413;"Amianto_2016"
"Amianto";"2017";7828310;12308,452;"Amianto_2017"
"Amianto";"2018";2757496;129,641;"Amianto_2018"
"Antimônio";"2016";6972728;1146,676;"Antimônio_2016"
"Antimônio";"2017";8690981;1102,216;"Antimônio_2017"
"Antimônio";"2018";9909251;1280,536;"Antimônio_2018"
"Areia";"2016";57995;37,548;"Areia_2016"
"Areia";"2017";50233;68,339;"Areia_2017"
"Areia";"2018";87164;176,072;"Areia_2018"
"Argilas Comuns";"2016";45115673;131994,748;"Argilas Comuns_2016"
"Argilas Comuns";"2017";73047469;173243,582;"Argilas Comuns_2017"
"Argilas Comuns";"2018";72835875;154734,895;"Argilas Comuns_2018"
"Argilas Plásticas";"2016";101676134;85228,085;"Argilas Plásticas_2016"
"Argilas Plásticas";"2017";87308334;35290,43;"Argilas Plásticas_2017"
"Argilas Plásticas";"2018";111469924;39911,973;"Argilas Plásticas_2018"
"Argilas Refratárias";"2016";164153933;14718,273;"Argilas Refratárias_2016"
"Argilas Refratárias";"2017";212144721;20986,772;"Argilas Refratárias_2017"
"Argilas Refratárias";"2018";281806658;20186,035;"Argilas Refratárias_2018"
"Arsênio";"2016";89758;43,951;"Arsênio_2016"
"Arsênio";"2017";118240;80,001;"Arsênio_2017"
"Arsênio";"2018";86263;40,001;"Arsênio_2018"
"Bário";"2016";13344968;27341,237;"Bário_2016"
"Bário";"2017";14352266;35672,126;"Bário_2017"
"Bário";"2018";16718824;45615,356;"Bário_2018"
"Bauxita";"2016";1456741026;801559,947;"Bauxita_2016"
"Bauxita";"2017";1625246921;943731,068;"Bauxita_2017"
"Bauxita";"2018";2211592586;876598,828;"Bauxita_2018"
"Bentonita";"2016";25448315;127424,39;"Bentonita_2016"
"Bentonita";"2017";21266359;118941,365;"Bentonita_2017"
"Bentonita";"2018";27843363;187023,124;"Bentonita_2018"
"Berílio";"2016";4899;0;"Berílio_2016"
"Berílio";"2017";4221;0;"Berílio_2017"
"Berílio";"2018";27747;0,005;"Berílio_2018"
"Bismuto";"2016";2133254;161,565;"Bismuto_2016"
"Bismuto";"2017";2212419;160,474;"Bismuto_2017"
"Bismuto";"2018";2145881;154,179;"Bismuto_2018"
"Boro";"2016";64170611;176531,242;"Boro_2016"
"Boro";"2017";82364788;236715,048;"Boro_2017"
"Boro";"2018";88023198;222974,099;"Boro_2018"
"Bromo";"2016";2689982;733,197;"Bromo_2016"
"Bromo";"2017";2236491;657,359;"Bromo_2017"
