"CO_ANO";"SUBSTANCIA";"CO_NCM";"NO_NCM_Subitem_POR";"EX_FOB.x";"QUANTIDADE";"SG_UNID";"NO_UNID";"id_NCM_ano";"VALOR_(usd/un)"
"2018";"Água Mineral";"22021000";"Águas, incluindo as águas minerais e as águas gaseificadas, adicionadas de açúcar ou de outros edulcorantes ou aromatizadas";10428563;25934266;"LITRO";"LITRO";"22021000_2018";1,375
"2018";"Água Mineral";"22011000";"Águas minerais e águas gaseificadas, não adicionadas de açúcar ou de outros edulcorantes nem aromatizadas";838433;1960457;"LITRO";"LITRO";"22011000_2018";0,5209
"2018";"Amianto";"25249000";"Outras formas de amianto";44768477;101067300;"KGL";"QUILOGRAMA LIQUIDO";"25249000_2018";0,572
"2018";"Amianto";"68114000";"Obras de fibrocimento, cimento-celulose ou produtos semelhantes, que contenham amianto";1337395;6639233;"KGL";"QUILOGRAMA LIQUIDO";"68114000_2018";0,1963
"2018";"Amianto";"68129910";"Juntas e outros elementos com função semelhante de vedação, de amianto";89590;1558;"KGL";"QUILOGRAMA LIQUIDO";"68129910_2018";41,025
"2018";"Amianto";"68138990";"Outras guarnições não montadas, para embreagens, etc, de amianto";56142;8118;"KGL";"QUILOGRAMA LIQUIDO";"68138990_2018";40
"2018";"Amianto";"68129100";"Vestuário, acessórios de vestuário, calçados e chapéus, de amianto/das misturas";15339;3288;"KGL";"QUILOGRAMA LIQUIDO";"68129100_2018";45,6
"2018";"Amianto";"68129990";"Outras obras de amianto trabalhado com fibras com mistura à base de amianto com carbonato de magnésio";6586;335;"KGL";"QUILOGRAMA LIQUIDO";"68129990_2018";8
"2018";"Amianto";"68129920";"Amianto trabalhado, em fibras";1171;38;"KGL";"QUILOGRAMA LIQUIDO";"68129920_2018";22,5202
"2018";"Amianto";"68128000";"Obras de crocidolita (amianto) ou em fibras";164;1;"KGL";"QUILOGRAMA LIQUIDO";"68128000_2018";164
"2018";"Amianto";"68129200";"Papéis, cartões, feltros, de amianto/das misturas";42;0;"KGL";"QUILOGRAMA LIQUIDO";"68129200_2018";NA
"2018";"Amianto";"68129300";"Folhas de amianto e elastômeros, comprimidos, para juntas, mesmo apresentadas em rolos";218;48;"KGL";"QUILOGRAMA LIQUIDO";"68129300_2018";4
"2018";"Antimônio";"28258090";"Outros óxidos de antimônio";67326;23137;"KGL";"QUILOGRAMA LIQUIDO";"28258090_2018";2,9099
"2018";"Antimônio";"81109000";"Obras e outros produtos do antimônio";28;0;"KGL";"QUILOGRAMA LIQUIDO";"81109000_2018";NA
"2018";"Areia";"25059000";"Outras areias naturais de qualquer espécie, mesmo coradas, exceto areias metalíferas do Capítulo 26";71795;1596,034;"TML";"TONELADA METRICA LIQUIDA";"25059000_2018";334,9
