"CO_ANO";"SUBSTANCIA";"CO_NCM";"NO_NCM_Subitem_POR";"IMP_FOB.x";"QUANTIDADE";"SG_UNID";"NO_UNID";"id_NCM_ano";"VALOR_(usd/un)"
"2018";"Água Mineral";"22011000";"Águas minerais e águas gaseificadas, não adicionadas de açúcar ou de outros edulcorantes nem aromatizadas";1515279;2958384;"LITRO";"LITRO";"22011000_2018";0,8105
"2018";"Água Mineral";"22021000";"Águas, incluindo as águas minerais e as águas gaseificadas, adicionadas de açúcar ou de outros edulcorantes ou aromatizadas";633331;376620;"LITRO";"LITRO";"22021000_2018";1,2907
"2018";"Amianto";"68138990";"Outras guarnições não montadas, para embreagens, etc, de amianto";1665037;93379;"KGL";"QUILOGRAMA LIQUIDO";"68138990_2018";44,6667
"2018";"Amianto";"68129910";"Juntas e outros elementos com função semelhante de vedação, de amianto";732089;18014;"KGL";"QUILOGRAMA LIQUIDO";"68129910_2018";95,5
"2018";"Amianto";"68129990";"Outras obras de amianto trabalhado com fibras com mistura à base de amianto com carbonato de magnésio";349511;10504;"KGL";"QUILOGRAMA LIQUIDO";"68129990_2018";82,1379
"2018";"Amianto";"68129300";"Folhas de amianto e elastômeros, comprimidos, para juntas, mesmo apresentadas em rolos";5232;972;"KGL";"QUILOGRAMA LIQUIDO";"68129300_2018";20,5
"2018";"Amianto";"68129200";"Papéis, cartões, feltros, de amianto/das misturas";1362;6;"KGL";"QUILOGRAMA LIQUIDO";"68129200_2018";198
"2018";"Amianto";"68128000";"Obras de crocidolita (amianto) ou em fibras";1235;8;"KGL";"QUILOGRAMA LIQUIDO";"68128000_2018";159,5
"2018";"Amianto";"68129100";"Vestuário, acessórios de vestuário, calçados e chapéus, de amianto/das misturas";1209;47;"KGL";"QUILOGRAMA LIQUIDO";"68129100_2018";14,9811
"2018";"Amianto";"68114000";"Obras de fibrocimento, cimento-celulose ou produtos semelhantes, que contenham amianto";1007;6686;"KGL";"QUILOGRAMA LIQUIDO";"68114000_2018";0,1496
"2018";"Amianto";"68129920";"Amianto trabalhado, em fibras";814;25;"KGL";"QUILOGRAMA LIQUIDO";"68129920_2018";22,4891
"2018";"Antimônio";"28258010";"Trióxido de antimônio";6509550;859701;"KGL";"QUILOGRAMA LIQUIDO";"28258010_2018";7,3358
"2018";"Antimônio";"81101010";"Antimônio em formas brutas";2349593;279580;"KGL";"QUILOGRAMA LIQUIDO";"81101010_2018";8,4502
"2018";"Antimônio";"81109000";"Obras e outros produtos do antimônio";839495;103901;"KGL";"QUILOGRAMA LIQUIDO";"81109000_2018";20
"2018";"Antimônio";"28258090";"Outros óxidos de antimônio";194302;36326;"KGL";"QUILOGRAMA LIQUIDO";"28258090_2018";10,0976
"2018";"Antimônio";"28419060";"Antimoniatos";10719;1011;"KGL";"QUILOGRAMA LIQUIDO";"28419060_2018";322,5
"2018";"Antimônio";"81101020";"Antimônio em pós";2885;4;"KGL";"QUILOGRAMA LIQUIDO";"81101020_2018";102
"2018";"Antimônio";"28273950";"Cloreto de antimônio";2675;13;"KGL";"QUILOGRAMA LIQUIDO";"28273950_2018";153
"2018";"Antimônio";"26171000";"Minérios de antimônio e seus concentrados";32;0;"KGL";"QUILOGRAMA LIQUIDO";"26171000_2018";NA
"2018";"Areia";"25059000";"Outras areias naturais de qualquer espécie, mesmo coradas, exceto areias metalíferas do Capítulo 26";87164;176,072;"TML";"TONELADA METRICA LIQUIDA";"25059000_2018";1026,65
"2018";"Argilas Comuns";"69072100";"Ladrilhos e placas (lajes), para pavimentação ou revestimento, exceto os das subposições 6907.30 e 6907.40, com um coeficiente de absorção de água, em peso, não superior a 0,5 %";52473815;6132915;"M2";"METRO QUADRADO";"69072100_2018";12,2597
"2018";"Argilas Comuns";"69139000";"Estatuetas/outros objetos ornamentais de cerâmica, exceto porcelana";10398807;5970055;"KGL";"QUILOGRAMA LIQUIDO";"69139000_2018";2,0602
"2018";"Argilas Comuns";"69149000";"Outras obras de cerâmica, exceto porcelana";3154821;1235726;"KGL";"QUILOGRAMA LIQUIDO";"69149000_2018";10,4763
"2018";"Argilas Comuns";"25084090";"Outras argilas";2002451;2830317;"KGL";"QUILOGRAMA LIQUIDO";"25084090_2018";1,0913
"2018";"Argilas Comuns";"69072300";"Ladrilhos e placas (lajes), para pavimentação ou revestimento, exceto os das subposições 6907.30 e 6907.40, com um coeficiente de absorção de água, em peso, superior a 10 %";1484013;797409;"M2";"METRO QUADRADO";"69072300_2018";18,5748
"2018";"Argilas Comuns";"69072200";"Ladrilhos e placas (lajes), para pavimentação ou revestimento, exceto os das subposições 6907.30 e 6907.40, com um coeficiente de absorção de água, em peso, superior a 0,5 %, mas não superior a 10 %";1204346;866333;"M2";"METRO QUADRADO";"69072200_2018";10,9361
"2018";"Argilas Comuns";"69073000";"Cubos, pastilhas e artigos semelhantes, para mosaicos, exceto os da subposição 6907.40";1012637;86434;"M2";"METRO QUADRADO";"69073000_2018";15,7877
"2018";"Argilas Comuns";"69041000";"Tijolos de cerâmica";674309;7799;"MIL";"MILHEIRO";"69041000_2018";80,9944
"2018";"Argilas Comuns";"69074000";"Peças de acabamento, de cerâmica";124946;8996;"M2";"METRO QUADRADO";"69074000_2018";18,5902
"2018";"Argilas Comuns";"32072010";"Engobos";117927;170760;"KGL";"QUILOGRAMA LIQUIDO";"32072010_2018";4,0465
"2018";"Argilas Plásticas";"69091930";"Colméia de cerâmica à base de alumina (Al2O3), sílica (SiO2) e óxido de magnésio (MgO), de depuradores por conversão catalítica de gases de escape de veículos";26146969;1337488;"KGL";"QUILOGRAMA LIQUIDO";"69091930_2018";22,5284
"2018";"Argilas Plásticas";"69120000";"Louça, outros artigos de uso doméstico e artigos de higiene ou de toucador, de cerâmica, exceto de porcelana";23899995;8909619;"KGL";"QUILOGRAMA LIQUIDO";"69120000_2018";3,5211
"2018";"Argilas Plásticas";"85462000";"Isoladores de cerâmica para uso elétrico";22889454;10427952;"KGL";"QUILOGRAMA LIQUIDO";"85462000_2018";10,1842
