substancia;pais;reserva 
Bauxita.e.Alumina;World total (rounded);30000000000
Bauxita.e.Alumina;Guinea;7400000000
Bauxita.e.Alumina;Australia;6000000000
Bauxita.e.Alumina;Other countries;5000000000
Bauxita.e.Alumina;Vietnam;3700000000
Bauxita.e.Alumina;Brazil;2600000000
Bauxita.e.Alumina;Jamaica;2000000000
Bauxita.e.Alumina;Indonesia;1200000000
Bauxita.e.Alumina;China;1000000000
Bauxita.e.Alumina;India;660000000
Bauxita.e.Alumina;Russia;500000000
Bauxita.e.Alumina;Saudi Arabia;200000000
Bauxita.e.Alumina;Malaysia;110000000
Bauxita.e.Alumina;United States;20000000
Bentonita;World total (large);
Bentonita;China;5600000
Bentonita;United States;4700000
Bentonita;Other countries;2200000
Bentonita;Turkey;1500000
Bentonita;India;810000
Bentonita;Brazil;520000
Bentonita;Mexico;470000
Bentonita;Germany;390000
Bentonita;Iran;360000
Bentonita;Czechia;280000
Bentonita;Spain;180000
Bentonita;Ukraine;110000
Calcário;World total (large);
Carvão Mineral;World total (rounded);1069636000
Carvão Mineral;United States;249537000
Carvão Mineral;Russia;162166000
Carvão Mineral;Australia;149079000
Carvão Mineral;China;141595000
Carvão Mineral;India;105931000
Carvão Mineral;Indonesia;39891000
Carvão Mineral;Germany;35900000
Carvão Mineral;Ukraine;34375000
Carvão Mineral;Poland;26932000
Carvão Mineral;Kazakhstan;25605000
Carvão Mineral;Turkey;11525000
Carvão Mineral;South Africa;9893000
Carvão Mineral;New Zealand;7575000
Carvão Mineral;Serbia;7514000
Carvão Mineral;Brazil;6596000
Caulim;World total (large);
Caulim;Other countries;13000000
Caulim;United States;5500000
Caulim;Germany;4300000
Caulim;India;4000000
Caulim;Czechia;3600000
Caulim;China;3200000
Caulim;Ukraine;2400000
Caulim;Brazil;1800000
Caulim;Greece;1400000
Caulim;Turkey;1400000
Caulim;United Kingdom;1000000
Caulim;Iran;790000
Caulim;Spain;450000
Caulim;Mexico;330000
Chumbo;World total (rounded);90000000
Chumbo;Australia;36000000
Chumbo;China;18000000
Chumbo;Russia;6400000
Chumbo;Peru;6300000
Chumbo;Mexico;5600000
Chumbo;Other countries;5000000
Chumbo;United States;5000000
Chumbo;India;2500000
Chumbo;Kazakhstan;2000000
Chumbo;Bolivia;1600000
Chumbo;Sweden;1100000
Chumbo;Turkey;860000
Cobalto;World total (rounded);7000000
Cobalto;Congo, D.R.;3600000
Cobalto;Australia;1200000
Cobalto;Other countries;570000
Cobalto;Cuba;500000
Cobalto;Philippines;260000
Cobalto;Russia;250000
Cobalto;Canada;230000
Cobalto;Madagascar;120000
Cobalto;China;80000
