Country;unit;2015;2016;2017;2018;2019;data source;substancia
Total;metr. t;57857723;58627629;60698876;64456760;62855762;p;Aluminium
China;metr. t;31518000;31775400;33289600;36831000;35043600;r;Aluminium
Russia;metr. t;3529000;3561000;3583000;3631000;3637000;r;Aluminium
India;metr. t;2354949;2896629;3400618;3696181;3635089;r;Aluminium
Canada;metr. t;2880037;3208888;3212124;2924389;2853771;r;Aluminium
United Arab Emirates;metr. t;2397000;2471000;2600000;2640000;2579000;r;Aluminium
Australia;metr. t;1645963;1633904;1487555;1574240;1569591;r;Aluminium
Bahrain;metr. t;960643;971420;981016;1011101;1365005;r;Aluminium
Norway;metr. t;1227787;1247000;1253000;1295000;1337500;r;Aluminium
United States;metr. t;1586518;818430;740884;896652;1126032;r;Aluminium
Saudi Arabia;metr. t;839000;871000;916000;932209;967000;r;Aluminium
Malaysia;metr. t;440000;620000;760000;760000;760000;r;Aluminium
South Africa;metr. t;695000;701000;716000;714000;717000;r;Aluminium
Iceland;metr. t;724705;700080;759988;731478;682616;r;Aluminium
Brazil;metr. t;772200;792700;801700;659000;650200;r;Aluminium
Qatar;metr. t;610000;612000;620000;616000;627400;r;Aluminium
Mozambique;metr. t;558390;571125;577495;571125;564756;r;Aluminium
Germany;metr. t;541400;546800;550000;528900;507934;r;Aluminium
Argentina;metr. t;431901;428957;431239;439600;438434;r;Aluminium
France;metr. t;415000;424640;426730;390000;401850;r;Aluminium
Oman;metr. t;377186;386395;252714;379775;390515;r;Aluminium
New Zealand;metr. t;335292;338556;336740;340678;351481;r;Aluminium
Egypt;metr. t;290000;297000;298000;267100;290000;r;Aluminium
Romania;metr. t;271356;272507;282074;282810;280326;r;Aluminium
Kazakhstan;metr. t;219000;235566;254000;258400;264895;r;Aluminium
Iran;metr. t;353000;341000;337608;304800;258166;r;Aluminium
Indonesia;metr. t;257149;245483;215192;219306;233457;r;Aluminium
Spain;metr. t;360000;360000;360000;350000;230000;e;Aluminium
Greece;metr. t;179420;181680;181700;187465;186903;r;Aluminium
Slovakia;metr. t;171328;173643;173492;173721;174794;r;Aluminium
Sweden;metr. t;116000;124000;123000;125000;120000;r;Aluminium
Tajikistan;metr. t;139123;129291;103147;95800;100800;r;Aluminium
Netherlands;metr. t;27700;36300;29300;41300;81100;r;Aluminium
Turkey;metr. t;46265;78807;75523;73291;78100;r;Aluminium
Slovenia;metr. t;83775;84365;84424;80511;68255;r;Aluminium
Bosnia-Herzegovina;metr. t;118253;106649;125536;131508;67690;r;Aluminium
Cameroon;metr. t;88273;84689;68598;65900;51700;r;Aluminium
Ghana;metr. t;33800;33010;40500;42867;45150;r;Aluminium
United Kingdom;metr. t;48000;46000;46500;44400;39400;r;Aluminium
Montenegro;metr. t;42499;38915;39379;40163;36552;r;Aluminium
Azerbaijan;metr. t;53300;36800;28500;45390;32700;r;Aluminium
Venezuela;metr. t;119511;145000;136000;64700;10000;r;Aluminium
Total;metr. t;149878;155215;148941;144362;125478;p;Antimony
China;metr. t;111400;103620;97683;70396;60229;r;Antimony
Tajikistan;metr. t;13460;26970;26370;28890;29300;r;Antimony
Russia;metr. t;7420;6620;6120;30828;21671;r;Antimony
Myanmar;metr. t;3000;2000;4500;2000;4500;r;Antimony
Turkey;metr. t;1950;2750;4840;3570;3815;r;Antimony
Bolivia;metr. t;3843;2669;2881;3110;2747;r;Antimony
Australia;metr. t;4213;4285;3131;2173;2032;r;Antimony
Iran;metr. t;216;2767;620;1645;330;r;Antimony
Vietnam;metr. t;220;230;230;245;305;p;Antimony
Mexico;metr. t;90;166;240;300;289;r;Antimony
Guatemala;metr. t;0;25;0;0;150;r;Antimony
Laos;metr. t;1166;242;320;330;70;r;Antimony
Kyrgyzstan;metr. t;1200;1880;1380;680;20;r;Antimony
Honduras;metr. t;14;0;0;20;15;e;Antimony
Canada;metr. t;1;0;1;5;5;r;Antimony
Ecuador;metr. t;40;15;260;0;0;r;Antimony
Kazakhstan;metr. t;979;573;350;150;0;r;Antimony
Pakistan;metr. t;114;21;15;20;0;r;Antimony
Peru;metr. t;250;0;0;0;0;r;Antimony
South Africa;metr. t;302;350;0;0;0;r;Antimony
Thailand;metr. t;0;32;0;0;0;r;Antimony
Total;metr. t;37260;58917;57947;52737;56641;p;Arsenic
Peru;metr. t;0;23252;22403;20376;24915;r;Arsenic
China;metr. t;25000;25000;25000;24000;24000;e;Arsenic
Morocco;metr. t;7567;6122;6879;5578;5055;r;Arsenic
Russia;metr. t;1500;1500;1500;1500;1500;e;Arsenic
Belgium;metr. t;1000;1000;1000;1000;1000;e;Arsenic
Bolivia;metr. t;38;38;20;238;126;r;Arsenic
Japan;metr. t;45;45;45;45;45;e;Arsenic
Iran;metr. t;110;0;400;0;0;r;Arsenic
Namibia;metr. t;2000;1960;700;0;0;r;Arsenic
Total;metr. t;1309672;1287075;1157070;1226817;1175300;p;Asbestos
Russia;metr. t;647690;713675;710250;752917;789600;r;Asbestos
Kazakhstan;metr. t;179800;192600;192700;202900;210700;r;Asbestos
China;metr. t;250000;203000;125000;170000;125000;r;Asbestos
Brazil;metr. t;232052;177800;129094;101000;50000;e;Asbestos
Argentina;metr. t;130;0;26;0;0;r;Asbestos
Total;metr. t;9734901;8742964;8954266;9150530;8814601;p;Baryte
China;metr. t;2984000;2771100;3100000;2900000;2900000;r;Baryte
India;metr. t;1252262;1262476;2050215;2000000;2000000;e;Baryte
Morocco;metr. t;1212130;668500;818016;899365;1119811;r;Baryte
Kazakhstan;metr. t;752300;612300;569900;773200;530600;r;Baryte
Mexico;metr. t;265700;173781;359912;366234;415180;r;Baryte
United States;metr. t;433000;232000;334000;366000;414000;r;Baryte
Turkey;metr. t;655943;321239;292447;465138;413811;r;Baryte
