substancia;escala;und_medida
Bauxita.e.Alumina;1000;t
Bentonita;1000;t
Calcário;1000;t
Carvão Mineral;1000;t
Caulim;1000;t
Chumbo;1000;t
Cobalto;1000;t
Cobre;1000;t
Concentrados.Minerais.de.Titânio;1000;t
Cromo;1000;t
Estanho;1000;t
Grafita;1;t
Lítio;1;t
Magnesita;1000;t
Manganês;1000;t
Minério.de.ferro;1000;t
Nióbio;1;t
Níquel;1;t
Ouro;1;t
Potássio;1000;t
Prata;1;t
Rocha.Fosfatica;1000;t
Rochas Ornamentais;
Tântalo;1;t
Terras.raras;1;t
Tungstênio;1;t
Vanádio;1;t
Zinco;1000;t
Zircônio.e.háfnio;1;t
